dataset,norm_mode,algorithm,run,seed,gamma,acc,nmi,ari,runtime_s
glass+identification,center,kmeans,1,42,,54.2056,42.6463,27.3885,0.0176
glass+identification,center,kmeans,2,43,,54.2056,39.8524,24.7080,0.0012
glass+identification,center,kmeans,3,44,,52.3364,37.7644,26.3100,0.0012
glass+identification,center,kmeans,4,45,,54.2056,39.9562,26.3758,0.0010
glass+identification,center,kmeans,5,46,,54.6729,38.5140,26.1768,0.0010
glass+identification,center,diskmeans,1,42,10000.0,53.7383,42.3128,27.1202,0.0028
glass+identification,center,diskmeans,2,43,10000.0,52.3364,38.4887,26.5571,0.0024
glass+identification,center,diskmeans,3,44,10000.0,54.2056,42.7716,27.0195,0.0029
glass+identification,center,diskmeans,4,45,10000.0,52.3364,39.2266,26.7385,0.0027
glass+identification,center,diskmeans,5,46,10000.0,46.2617,35.6170,20.9592,0.0019
glass+identification,center,fdkm,1,42,10000.0,54.2056,42.7716,27.0195,0.0208
glass+identification,center,fdkm,2,43,10000.0,52.3364,38.8606,26.0825,0.0262
glass+identification,center,fdkm,3,44,10000.0,52.3364,38.8606,26.0825,0.0134
glass+identification,center,fdkm,4,45,10000.0,54.2056,42.7716,27.0195,0.0131
glass+identification,center,fdkm,5,46,10000.0,54.2056,42.7716,27.0195,0.0161
glass+identification,center,ifdkm,1,42,10000.0,54.2056,42.2808,28.0876,0.0205
glass+identification,center,ifdkm,2,43,10000.0,53.2710,35.8499,24.1375,0.0208
glass+identification,center,ifdkm,3,44,10000.0,54.2056,42.7716,27.0195,0.0303
glass+identification,center,ifdkm,4,45,10000.0,52.3364,38.8772,26.8519,0.0409
glass+identification,center,ifdkm,5,46,10000.0,53.7383,42.4370,26.7519,0.0229
glass+identification,center,ifdfd,1,42,10000.0,54.2056,42.7716,27.0195,0.0301
glass+identification,center,ifdfd,2,43,10000.0,52.3364,38.8772,26.8519,0.0441
glass+identification,center,ifdfd,3,44,10000.0,54.2056,42.7716,27.0195,0.0344
glass+identification,center,ifdfd,4,45,10000.0,52.3364,38.8772,26.8519,0.0413
glass+identification,center,ifdfd,5,46,10000.0,54.2056,42.7716,27.0195,0.0468
glass+identification,standardize,kmeans,1,42,,43.4579,30.5413,16.7988,0.0120
glass+identification,standardize,kmeans,2,43,,46.2617,31.8751,17.4982,0.0106
glass+identification,standardize,kmeans,3,44,,42.5234,28.5565,15.6162,0.0108
glass+identification,standardize,kmeans,4,45,,50.9346,43.2769,25.5715,0.0090
glass+identification,standardize,kmeans,5,46,,42.9907,33.6481,17.0076,0.0079
glass+identification,standardize,diskmeans,1,42,10000.0,45.7944,36.2619,18.9716,0.0050
glass+identification,standardize,diskmeans,2,43,10000.0,45.7944,32.9341,17.8598,0.0015
glass+identification,standardize,diskmeans,3,44,10000.0,45.7944,32.5310,17.0294,0.0028
glass+identification,standardize,diskmeans,4,45,10000.0,44.3925,34.1130,17.9624,0.0016
glass+identification,standardize,diskmeans,5,46,10000.0,46.2617,32.8908,17.6866,0.0016
glass+identification,standardize,fdkm,1,42,10000.0,45.3271,31.4626,16.9864,0.0238
glass+identification,standardize,fdkm,2,43,10000.0,44.8598,31.6543,15.9922,0.0268
glass+identification,standardize,fdkm,3,44,10000.0,44.8598,31.6543,15.9922,0.0174
glass+identification,standardize,fdkm,4,45,10000.0,46.7290,31.7235,17.1892,0.0148
glass+identification,standardize,fdkm,5,46,10000.0,46.7290,31.7235,17.1892,0.0133
glass+identification,standardize,ifdkm,1,42,10000.0,44.8598,33.6713,17.7785,0.0304
glass+identification,standardize,ifdkm,2,43,10000.0,41.5888,27.1374,14.0200,0.0304
glass+identification,standardize,ifdkm,3,44,10000.0,43.9252,32.1654,17.1401,0.0208
glass+identification,standardize,ifdkm,4,45,10000.0,45.3271,33.1348,17.4176,0.0181
glass+identification,standardize,ifdkm,5,46,10000.0,46.7290,32.8620,17.4310,0.0205
glass+identification,standardize,ifdfd,1,42,10000.0,46.7290,31.7235,17.1892,0.0466
glass+identification,standardize,ifdfd,2,43,10000.0,41.5888,27.1374,14.0200,0.0340
glass+identification,standardize,ifdfd,3,44,10000.0,45.3271,31.4626,16.9864,0.0302
glass+identification,standardize,ifdfd,4,45,10000.0,46.7290,31.7235,17.1892,0.0243
glass+identification,standardize,ifdfd,5,46,10000.0,45.3271,31.4626,16.9864,0.0315
glass+identification,pca_whiten,kmeans,1,42,,39.7196,27.9163,14.8891,0.0162
glass+identification,pca_whiten,kmeans,2,43,,44.8598,30.8531,17.5573,0.0164
glass+identification,pca_whiten,kmeans,3,44,,39.7196,24.8618,13.9628,0.0106
glass+identification,pca_whiten,kmeans,4,45,,45.7944,32.2952,16.3389,0.0016
glass+identification,pca_whiten,kmeans,5,46,,42.9907,33.1371,18.1586,0.0009
glass+identification,pca_whiten,diskmeans,1,42,1e-08,39.2523,22.8650,12.7684,0.0023
glass+identification,pca_whiten,diskmeans,2,43,1e-08,40.6542,28.4032,15.4153,0.0025
glass+identification,pca_whiten,diskmeans,3,44,1e-08,40.1869,28.1296,16.7232,0.0025
glass+identification,pca_whiten,diskmeans,4,45,1e-08,38.7850,26.4564,13.4603,0.0026
glass+identification,pca_whiten,diskmeans,5,46,1e-08,38.7850,29.5116,15.7613,0.0023
glass+identification,pca_whiten,fdkm,1,42,10000.0,51.4019,33.9492,21.9219,0.0399
glass+identification,pca_whiten,fdkm,2,43,10000.0,42.9907,28.3283,14.8064,0.0315
glass+identification,pca_whiten,fdkm,3,44,10000.0,46.7290,35.2137,21.4424,0.0145
glass+identification,pca_whiten,fdkm,4,45,10000.0,46.2617,25.6995,15.5340,0.0366
glass+identification,pca_whiten,fdkm,5,46,10000.0,42.0561,29.6146,15.2611,0.0670
glass+identification,pca_whiten,ifdkm,1,42,1e-08,39.7196,23.7159,12.4054,0.0281
glass+identification,pca_whiten,ifdkm,2,43,1e-08,39.2523,25.6607,12.3124,0.0291
glass+identification,pca_whiten,ifdkm,3,44,1e-08,39.2523,27.2791,14.9747,0.0465
glass+identification,pca_whiten,ifdkm,4,45,1e-08,37.8505,25.8345,13.0584,0.0442
glass+identification,pca_whiten,ifdkm,5,46,1e-08,37.8505,24.5977,12.7916,0.0179
glass+identification,pca_whiten,ifdfd,1,42,1e-08,43.9252,24.4313,12.5253,0.0412
glass+identification,pca_whiten,ifdfd,2,43,1e-08,40.6542,23.4995,13.4522,0.0449
glass+identification,pca_whiten,ifdfd,3,44,1e-08,41.5888,27.8483,14.9754,0.0586
glass+identification,pca_whiten,ifdfd,4,45,1e-08,40.1869,28.9091,14.6026,0.0671
glass+identification,pca_whiten,ifdfd,5,46,1e-08,42.5234,32.5267,15.0721,0.0416
glass+identification,l2_sample,kmeans,1,42,,54.2056,40.6288,27.2132,0.0040
glass+identification,l2_sample,kmeans,2,43,,54.2056,41.6163,26.6461,0.0126
glass+identification,l2_sample,kmeans,3,44,,52.3364,42.4721,26.8253,0.0124
glass+identification,l2_sample,kmeans,4,45,,54.2056,41.1051,26.5571,0.0080
glass+identification,l2_sample,kmeans,5,46,,52.8037,46.1347,29.2029,0.0008
glass+identification,l2_sample,diskmeans,1,42,1.0,53.2710,43.2030,27.9789,0.0027
glass+identification,l2_sample,diskmeans,2,43,1.0,52.8037,38.2610,26.4957,0.0018
glass+identification,l2_sample,diskmeans,3,44,1.0,54.2056,44.2881,28.0339,0.0013
glass+identification,l2_sample,diskmeans,4,45,1.0,52.8037,40.3840,27.1871,0.0020
glass+identification,l2_sample,diskmeans,5,46,1.0,53.7383,43.5912,27.6563,0.0028
glass+identification,l2_sample,fdkm,1,42,1.0,54.2056,43.5828,28.2619,0.0176
glass+identification,l2_sample,fdkm,2,43,1.0,54.6729,41.1675,26.5926,0.0831
glass+identification,l2_sample,fdkm,3,44,1.0,51.8692,40.3508,27.2544,0.0174
glass+identification,l2_sample,fdkm,4,45,1.0,54.2056,43.5828,28.2619,0.0145
glass+identification,l2_sample,fdkm,5,46,1.0,54.6729,41.1675,26.5926,0.0202
glass+identification,l2_sample,ifdkm,1,42,0.01,46.2617,37.1193,20.6512,0.0255
glass+identification,l2_sample,ifdkm,2,43,0.01,46.2617,32.3595,18.9148,0.0431
glass+identification,l2_sample,ifdkm,3,44,0.01,45.7944,31.8814,17.9945,0.0303
glass+identification,l2_sample,ifdkm,4,45,0.01,45.3271,31.9859,18.1648,0.0302
glass+identification,l2_sample,ifdkm,5,46,0.01,45.7944,31.9128,18.2472,0.0302
glass+identification,l2_sample,ifdfd,1,42,1.0,54.2056,35.8634,24.0088,0.1016
glass+identification,l2_sample,ifdfd,2,43,1.0,51.8692,40.3508,27.2544,0.1600
glass+identification,l2_sample,ifdfd,3,44,1.0,54.2056,43.5828,28.2619,0.0587
glass+identification,l2_sample,ifdfd,4,45,1.0,51.4019,35.1668,22.0486,0.0691
glass+identification,l2_sample,ifdfd,5,46,1.0,54.2056,43.5828,28.2619,0.1224
glass+identification,center_l2,kmeans,1,42,,54.6729,42.5949,27.6536,0.0144
glass+identification,center_l2,kmeans,2,43,,45.3271,36.8010,22.2042,0.0099
glass+identification,center_l2,kmeans,3,44,,44.8598,37.9020,22.0942,0.0097
glass+identification,center_l2,kmeans,4,45,,42.9907,36.4911,20.3639,0.0008
glass+identification,center_l2,kmeans,5,46,,52.8037,39.9054,25.7398,0.0008
glass+identification,center_l2,diskmeans,1,42,100.0,52.8037,40.5601,25.8183,0.0026
glass+identification,center_l2,diskmeans,2,43,100.0,53.7383,42.0187,26.9735,0.0048
glass+identification,center_l2,diskmeans,3,44,100.0,46.7290,36.1491,21.1787,0.0042
glass+identification,center_l2,diskmeans,4,45,100.0,45.3271,37.3702,21.7132,0.0020
glass+identification,center_l2,diskmeans,5,46,100.0,50.0000,34.5048,21.0656,0.0046
glass+identification,center_l2,fdkm,1,42,10000.0,53.2710,42.3438,26.8960,0.0158
glass+identification,center_l2,fdkm,2,43,10000.0,53.2710,41.4960,26.4196,0.0308
glass+identification,center_l2,fdkm,3,44,10000.0,52.3364,40.1833,26.2072,0.0260
glass+identification,center_l2,fdkm,4,45,10000.0,53.2710,41.4960,26.4196,0.0262
glass+identification,center_l2,fdkm,5,46,10000.0,52.3364,40.1833,26.2072,0.0319
glass+identification,center_l2,ifdkm,1,42,1.0,43.4579,31.3790,17.5188,0.0206
glass+identification,center_l2,ifdkm,2,43,1.0,37.3832,28.9590,13.6313,0.0307
glass+identification,center_l2,ifdkm,3,44,1.0,42.9907,29.9867,16.8119,0.0362
glass+identification,center_l2,ifdkm,4,45,1.0,36.9159,26.5019,12.1093,0.0325
glass+identification,center_l2,ifdkm,5,46,1.0,41.1215,33.1551,17.8357,0.0351
glass+identification,center_l2,ifdfd,1,42,0.01,40.1869,25.1702,12.7614,0.0957
glass+identification,center_l2,ifdfd,2,43,0.01,39.2523,27.4638,13.8774,0.0396
glass+identification,center_l2,ifdfd,3,44,0.01,42.9907,28.9664,15.2972,0.0634
glass+identification,center_l2,ifdfd,4,45,0.01,34.5794,19.5839,7.6337,0.1075
glass+identification,center_l2,ifdfd,5,46,0.01,41.1215,26.5663,14.4230,0.0394
glass+identification,frobenius,kmeans,1,42,,54.2056,42.6463,27.3885,0.0116
glass+identification,frobenius,kmeans,2,43,,54.2056,39.8524,24.7080,0.0267
glass+identification,frobenius,kmeans,3,44,,52.3364,37.7644,26.3100,0.0121
glass+identification,frobenius,kmeans,4,45,,54.2056,39.9562,26.3758,0.0008
glass+identification,frobenius,kmeans,5,46,,54.6729,38.5140,26.1768,0.0008
glass+identification,frobenius,diskmeans,1,42,1.0,55.6075,46.0452,29.2370,0.0019
glass+identification,frobenius,diskmeans,2,43,1.0,51.8692,38.2956,25.7660,0.0016
glass+identification,frobenius,diskmeans,3,44,1.0,54.6729,43.6532,27.8842,0.0021
glass+identification,frobenius,diskmeans,4,45,1.0,53.7383,40.5164,27.6268,0.0018
glass+identification,frobenius,diskmeans,5,46,1.0,50.0000,36.5829,23.4903,0.0013
glass+identification,frobenius,fdkm,1,42,0.01,54.2056,43.5828,28.2619,0.0292
glass+identification,frobenius,fdkm,2,43,0.01,54.2056,43.5828,28.2619,0.0202
glass+identification,frobenius,fdkm,3,44,0.01,52.3364,39.8069,27.0600,0.0146
glass+identification,frobenius,fdkm,4,45,0.01,54.6729,43.6348,28.2920,0.0179
glass+identification,frobenius,fdkm,5,46,0.01,54.6729,41.1675,26.5926,0.0231
glass+identification,frobenius,ifdkm,1,42,0.0001,44.8598,32.0134,18.2917,0.0376
glass+identification,frobenius,ifdkm,2,43,0.0001,44.8598,31.7575,18.5616,0.0354
glass+identification,frobenius,ifdkm,3,44,0.0001,42.5234,32.7708,17.9667,0.0277
glass+identification,frobenius,ifdkm,4,45,0.0001,45.7944,32.7459,18.5042,0.0503
glass+identification,frobenius,ifdkm,5,46,0.0001,45.7944,32.7459,18.5042,0.0302
glass+identification,frobenius,ifdfd,1,42,0.01,53.2710,35.1382,22.8944,0.0715
glass+identification,frobenius,ifdfd,2,43,0.01,52.3364,39.8069,27.0600,0.1286
glass+identification,frobenius,ifdfd,3,44,0.01,54.2056,43.5828,28.2619,0.0733
glass+identification,frobenius,ifdfd,4,45,0.01,54.2056,43.5828,28.2619,0.0692
glass+identification,frobenius,ifdfd,5,46,0.01,52.3364,39.8069,27.0600,0.0796
glass+identification,robust,kmeans,1,42,,45.3271,32.4030,17.5566,0.0192
glass+identification,robust,kmeans,2,43,,43.9252,30.8633,16.7749,0.0062
glass+identification,robust,kmeans,3,44,,47.6636,32.6716,17.0652,0.0010
glass+identification,robust,kmeans,4,45,,53.7383,38.3898,24.6189,0.0009
glass+identification,robust,kmeans,5,46,,44.3925,31.4258,17.2703,0.0016
glass+identification,robust,diskmeans,1,42,1000000.0,43.4579,31.6721,16.8592,0.0017
glass+identification,robust,diskmeans,2,43,1000000.0,43.9252,30.9957,16.9625,0.0019
glass+identification,robust,diskmeans,3,44,1000000.0,44.3925,31.9220,17.1045,0.0018
glass+identification,robust,diskmeans,4,45,1000000.0,43.4579,31.4045,16.5514,0.0019
glass+identification,robust,diskmeans,5,46,1000000.0,43.4579,31.7162,17.0034,0.0015
glass+identification,robust,fdkm,1,42,1000000.0,45.7944,32.4555,18.2040,0.0158
glass+identification,robust,fdkm,2,43,1000000.0,44.8598,32.1317,17.5676,0.0157
glass+identification,robust,fdkm,3,44,1000000.0,43.9252,31.5378,17.0448,0.0127
glass+identification,robust,fdkm,4,45,1000000.0,47.6636,32.3308,18.3738,0.0157
glass+identification,robust,fdkm,5,46,1000000.0,44.8598,32.1971,17.9715,0.0158
glass+identification,robust,ifdkm,1,42,10000.0,54.2056,40.1889,25.5384,0.0244
glass+identification,robust,ifdkm,2,43,10000.0,42.0561,28.0378,15.2913,0.0193
glass+identification,robust,ifdkm,3,44,10000.0,43.4579,30.5247,16.2012,0.0219
glass+identification,robust,ifdkm,4,45,10000.0,43.9252,30.6044,16.6603,0.0226
glass+identification,robust,ifdkm,5,46,10000.0,42.0561,29.1020,16.0770,0.0220
glass+identification,robust,ifdfd,1,42,10000.0,54.2056,40.0604,25.4747,0.0340
glass+identification,robust,ifdfd,2,43,10000.0,41.5888,30.2000,16.0014,0.0305
glass+identification,robust,ifdfd,3,44,10000.0,43.9252,30.8571,16.6642,0.0317
glass+identification,robust,ifdfd,4,45,10000.0,43.9252,30.8571,16.6642,0.0361
glass+identification,robust,ifdfd,5,46,10000.0,43.9252,30.8571,16.6642,0.0379
glass+identification,minmax,kmeans,1,42,,43.4579,34.3662,17.6956,0.0372
glass+identification,minmax,kmeans,2,43,,50.4673,38.4380,20.7748,0.0155
glass+identification,minmax,kmeans,3,44,,50.4673,34.9650,21.0770,0.0010
glass+identification,minmax,kmeans,4,45,,43.9252,32.3645,16.6204,0.0010
glass+identification,minmax,kmeans,5,46,,42.9907,31.2373,16.3554,0.0009
glass+identification,minmax,diskmeans,1,42,100000000.0,53.2710,34.8124,26.5892,0.0004
glass+identification,minmax,diskmeans,2,43,100000000.0,44.8598,26.8954,16.6280,0.0005
glass+identification,minmax,diskmeans,3,44,100000000.0,43.4579,31.4849,19.5338,0.0005
glass+identification,minmax,diskmeans,4,45,100000000.0,46.7290,34.7939,20.2836,0.0005
glass+identification,minmax,diskmeans,5,46,100000000.0,41.5888,30.4319,15.0607,0.0005
glass+identification,minmax,fdkm,1,42,10000.0,47.1963,35.6979,19.8989,0.0216
glass+identification,minmax,fdkm,2,43,10000.0,43.9252,33.2643,16.8227,0.0215
glass+identification,minmax,fdkm,3,44,10000.0,50.4673,37.8197,19.6979,0.0155
glass+identification,minmax,fdkm,4,45,10000.0,49.5327,38.3735,20.7714,0.0125
glass+identification,minmax,fdkm,5,46,10000.0,49.0654,36.5104,19.5948,0.0128
glass+identification,minmax,ifdkm,1,42,100.0,45.3271,36.7031,19.5259,0.0810
glass+identification,minmax,ifdkm,2,43,100.0,43.4579,33.3473,16.9879,0.0400
glass+identification,minmax,ifdkm,3,44,100.0,42.9907,33.4386,16.8109,0.0427
glass+identification,minmax,ifdkm,4,45,100.0,43.4579,33.9121,17.6914,0.0372
glass+identification,minmax,ifdkm,5,46,100.0,44.8598,32.3790,19.3624,0.0254
glass+identification,minmax,ifdfd,1,42,1.0,40.6542,30.8970,15.6732,0.0505
glass+identification,minmax,ifdfd,2,43,1.0,43.4579,32.2186,17.1608,0.0465
glass+identification,minmax,ifdfd,3,44,1.0,40.1869,27.8616,14.5695,0.0399
glass+identification,minmax,ifdfd,4,45,1.0,47.1963,32.4691,17.4070,0.0414
glass+identification,minmax,ifdfd,5,46,1.0,42.9907,32.1800,17.0201,0.0474
glass+identification,row_center,kmeans,1,42,,54.2056,42.6463,27.3885,0.0296
glass+identification,row_center,kmeans,2,43,,54.2056,39.8524,24.7080,0.0112
glass+identification,row_center,kmeans,3,44,,52.3364,37.7644,26.3100,0.0010
glass+identification,row_center,kmeans,4,45,,54.2056,39.9562,26.3758,0.0007
glass+identification,row_center,kmeans,5,46,,54.6729,38.5140,26.1768,0.0008
glass+identification,row_center,diskmeans,1,42,1000000.0,54.2056,42.8927,29.4558,0.0013
glass+identification,row_center,diskmeans,2,43,1000000.0,51.8692,38.2956,25.7660,0.0015
glass+identification,row_center,diskmeans,3,44,1000000.0,54.6729,43.6348,28.2920,0.0022
glass+identification,row_center,diskmeans,4,45,1000000.0,53.2710,39.6797,27.1743,0.0019
glass+identification,row_center,diskmeans,5,46,1000000.0,49.0654,36.4238,23.4540,0.0013
glass+identification,row_center,fdkm,1,42,1000000.0,53.7383,41.5058,27.4450,0.0124
glass+identification,row_center,fdkm,2,43,1000000.0,54.2056,41.2738,27.1327,0.0151
glass+identification,row_center,fdkm,3,44,1000000.0,52.3364,39.7993,26.8209,0.0203
glass+identification,row_center,fdkm,4,45,1000000.0,51.8692,37.8816,25.0433,0.0099
glass+identification,row_center,fdkm,5,46,1000000.0,51.8692,43.0650,27.8493,0.0124
glass+identification,row_center,ifdkm,1,42,100.0,41.1215,31.8284,16.5440,0.0401
glass+identification,row_center,ifdkm,2,43,100.0,46.2617,34.0838,19.1666,0.0361
glass+identification,row_center,ifdkm,3,44,100.0,46.2617,33.9303,18.9640,0.0377
glass+identification,row_center,ifdkm,4,45,100.0,46.2617,33.9303,18.9640,0.0302
glass+identification,row_center,ifdkm,5,46,100.0,46.2617,34.0838,19.1666,0.0268
glass+identification,row_center,ifdfd,1,42,1000000.0,53.7383,41.5058,27.4450,0.0160
glass+identification,row_center,ifdfd,2,43,1000000.0,54.2056,41.2738,27.1327,0.0189
glass+identification,row_center,ifdfd,3,44,1000000.0,52.3364,39.7993,26.8209,0.0233
glass+identification,row_center,ifdfd,4,45,1000000.0,51.8692,37.8816,25.0433,0.0121
glass+identification,row_center,ifdfd,5,46,1000000.0,51.8692,43.0650,27.8493,0.0157
glass+identification,double_center,kmeans,1,42,,54.2056,42.6463,27.3885,0.0170
glass+identification,double_center,kmeans,2,43,,54.2056,39.8524,24.7080,0.0185
glass+identification,double_center,kmeans,3,44,,52.3364,37.7644,26.3100,0.0114
glass+identification,double_center,kmeans,4,45,,54.2056,39.9562,26.3758,0.0009
glass+identification,double_center,kmeans,5,46,,54.6729,38.5140,26.1768,0.0010
glass+identification,double_center,diskmeans,1,42,10000.0,53.7383,42.3128,27.1202,0.0052
glass+identification,double_center,diskmeans,2,43,10000.0,52.3364,38.4887,26.5571,0.0038
glass+identification,double_center,diskmeans,3,44,10000.0,54.2056,42.7716,27.0195,0.0064
glass+identification,double_center,diskmeans,4,45,10000.0,52.3364,39.2266,26.7385,0.0047
glass+identification,double_center,diskmeans,5,46,10000.0,46.2617,35.6170,20.9592,0.0033
glass+identification,double_center,fdkm,1,42,10000.0,54.2056,42.7716,27.0195,0.0188
glass+identification,double_center,fdkm,2,43,10000.0,52.3364,38.8606,26.0825,0.0128
glass+identification,double_center,fdkm,3,44,10000.0,52.3364,38.8606,26.0825,0.0119
glass+identification,double_center,fdkm,4,45,10000.0,54.2056,42.7716,27.0195,0.0122
glass+identification,double_center,fdkm,5,46,10000.0,54.2056,42.7716,27.0195,0.0168
glass+identification,double_center,ifdkm,1,42,10000.0,54.2056,42.2808,28.0876,0.0207
glass+identification,double_center,ifdkm,2,43,10000.0,53.2710,35.8499,24.1375,0.0181
glass+identification,double_center,ifdkm,3,44,10000.0,54.2056,42.7716,27.0195,0.0308
glass+identification,double_center,ifdkm,4,45,10000.0,52.3364,38.8772,26.8519,0.0380
glass+identification,double_center,ifdkm,5,46,10000.0,53.7383,42.4370,26.7519,0.0230
glass+identification,double_center,ifdfd,1,42,10000.0,54.2056,42.7716,27.0195,0.0336
glass+identification,double_center,ifdfd,2,43,10000.0,52.3364,38.8772,26.8519,0.0440
glass+identification,double_center,ifdfd,3,44,10000.0,54.2056,42.7716,27.0195,0.0332
